data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2016-12-30,DSP - DESPACHO 3284/2016,DSP,DESPACHO,3284/2016,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Acatamento,NULL,1,Texto Integral
2016-12-30,DSP - DESPACHO 3386/2016,DSP,DESPACHO,3386/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Texto Integral | Nota Técnica
2016-12-30,DSP - DESPACHO 3398/2016,DSP,DESPACHO,3398/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Determinação,PREENCHIDA,1,Texto Integral
2016-12-30,DSP - DESPACHO 3399/2016,DSP,DESPACHO,3399/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Texto Integral | Nota Técnica
2016-12-30,DSP - DESPACHO 3400/2016,DSP,DESPACHO,3400/2016,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Conhecimento,PREENCHIDA,1,Texto Integral
2016-12-30,DSP - DESPACHO 3407/2016,DSP,DESPACHO,3407/2016,SCG/ANEEL,REVOGADA,1,Registro,PREENCHIDA,2,Texto Integral | Decisão Judicial
2016-12-30,DSP - DESPACHO 3408/2016,DSP,DESPACHO,3408/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Texto Integral | Nota Técnica
2016-12-30,DSP - DESPACHO 3409/2016,DSP,DESPACHO,3409/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2016-12-30,DSP - DESPACHO 3410/2016,DSP,DESPACHO,3410/2016,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Conhecimento,PREENCHIDA,1,Texto Integral
2016-12-30,DSP - DESPACHO 3411/2016,DSP,DESPACHO,3411/2016,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2016-12-30,DSP - DESPACHO 3415/2016,DSP,DESPACHO,3415/2016,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2016-12-30,DSP - DESPACHO 3416/2016,DSP,DESPACHO,3416/2016,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 267/2016,PRT,PORTARIA,267/2016,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 268/2016,PRT,PORTARIA,268/2016,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 269/2016,PRT,PORTARIA,269/2016,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 270/2016,PRT,PORTARIA,270/2016,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 4363/2016,PRT,PORTARIA,4363/2016,SAF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Designação,NULL,1,Texto Integral
2016-12-30,PRT - PORTARIA 4374/2016,PRT,PORTARIA,4374/2016,SAF/SGI/SLC/ANEEL,REVOGADA,1,Designação,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 4380/2016,PRT,PORTARIA,4380/2016,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 4381/2016,PRT,PORTARIA,4381/2016,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,PREENCHIDA,1,Texto Integral
2016-12-30,PRT - PORTARIA 4383/2016,PRT,PORTARIA,4383/2016,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença,NULL,1,Texto Integral
2016-12-30,PRT - PORTARIA 4384/2016,PRT,PORTARIA,4384/2016,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,NULL,1,Texto Integral
2016-12-30,PRT - PORTARIA 4402/2016,PRT,PORTARIA,4402/2016,SAF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Prorrogação de prazo,NULL,1,Texto Integral
2016-12-29,DSP - DESPACHO 3397/2016,DSP,DESPACHO,3397/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Texto Integral | Nota Técnica
