data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2022-12-30,DSP - DESPACHO 021,DSP,DESPACHO,021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Indeferimento,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3683/2022,DSP,DESPACHO,3683/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3700/2022,DSP,DESPACHO,3700/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3708/2022,DSP,DESPACHO,3708/2022,SRG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Determinação,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3709/2022,DSP,DESPACHO,3709/2022,SRM/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3710/2022,DSP,DESPACHO,3710/2022,SCT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3713/2022,DSP,DESPACHO,3713/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Revogação,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3716/2022,DSP,DESPACHO,3716/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2022-12-30,DSP - DESPACHO 3718/2022,DSP,DESPACHO,3718/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Efeito suspensivo,PREENCHIDA,2,Texto Integral | Decisão
2022-12-30,DSP - DESPACHO 3719/2022,DSP,DESPACHO,3719/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Efeito suspensivo,PREENCHIDA,2,Texto Integral | Decisão
2022-12-30,DSP - DESPACHO 3720/2022,DSP,DESPACHO,3720/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Efeito suspensivo,PREENCHIDA,2,Texto Integral | Decisão
2022-12-30,PRT - PORTARIA 060/2022,PRT,PORTARIA,060/2022,MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2022-12-30,PRT - PORTARIA 1874/2022,PRT,PORTARIA,1874/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Acesso,PREENCHIDA,1,Texto Integral
2022-12-30,PRT - PORTARIA 1875/2022,PRT,PORTARIA,1875/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2022-12-30,PRT - PORTARIA 1876/2022,PRT,PORTARIA,1876/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2022-12-30,PRT - PORTARIA 1877/2022,PRT,PORTARIA,1877/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2022-12-30,PRT - PORTARIA 1878/2022,PRT,PORTARIA,1878/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral
2022-12-30,PRT - PORTARIA 6797/2022,PRT,PORTARIA,6797/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,NULL,1,Texto Integral
2022-12-29,DEC - DECRETO 11314/2022,DEC,DECRETO,11314/2022,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Regulamentação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3623/2022,DSP,DESPACHO,3623/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3624/2022,DSP,DESPACHO,3624/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3625/2022,DSP,DESPACHO,3625/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3630/2022,DSP,DESPACHO,3630/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3634/2022,DSP,DESPACHO,3634/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3635/2022,DSP,DESPACHO,3635/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3636/2022,DSP,DESPACHO,3636/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3640/2022,DSP,DESPACHO,3640/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecida,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3641/2022,DSP,DESPACHO,3641/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3661/2022,DSP,DESPACHO,3661/2022,SPE/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Reconhecimento,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3684/2022,DSP,DESPACHO,3684/2022,SRM/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Homologação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3693/2022,DSP,DESPACHO,3693/2022,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Derrogação,NULL,1,Texto Integral
2022-12-29,DSP - DESPACHO 3701/2022,DSP,DESPACHO,3701/2022,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3702/2022,DSP,DESPACHO,3702/2022,SRG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Determinação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3703/2022,DSP,DESPACHO,3703/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3704/2022,DSP,DESPACHO,3704/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3705/2022,DSP,DESPACHO,3705/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3706/2022,DSP,DESPACHO,3706/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
2022-12-29,DSP - DESPACHO 3707/2022,DSP,DESPACHO,3707/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
