data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2021-06-01,DSP - DESPACHO 1541/2021,DSP,DESPACHO,1541/2021,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Provimento,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1547/2021,DSP,DESPACHO,1547/2021,SCT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1548/2021,DSP,DESPACHO,1548/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1549/2021,DSP,DESPACHO,1549/2021,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Provimento,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1550/2021,DSP,DESPACHO,1550/2021,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1551/2021,DSP,DESPACHO,1551/2021,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,NULL,1,Texto Integral
2021-06-01,DSP - DESPACHO 1552/2021,DSP,DESPACHO,1552/2021,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,NULL,1,Texto Integral
2021-06-01,DSP - DESPACHO 1553/2021,DSP,DESPACHO,1553/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1554/2021,DSP,DESPACHO,1554/2021,SRT/ANEEL,NULL,0,Juízo de mérito,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1555/2021,DSP,DESPACHO,1555/2021,SRD/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Homologação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1556/2021,DSP,DESPACHO,1556/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1557/2021,DSP,DESPACHO,1557/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1558/2021,DSP,DESPACHO,1558/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2021-06-01,DSP - DESPACHO 1560/2021,DSP,DESPACHO,1560/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral
