registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo
2022_00097_pdf1,2022,2022-12-23,PRT - PORTARIA 1865/2022,PRT,PORTARIA,1865/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Conceituação,,1,Texto Integral
2022_00099_pdf1,2022,2022-12-23,PRT - PORTARIA 380/2022,PRT,PORTARIA,380/2022,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença para capacitação,,1,Texto Integral
2022_00101_pdf1,2022,2022-12-23,PRT - PORTARIA 388/2022,PRT,PORTARIA,388/2022,SAF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Criação,,1,Texto Integral
2022_00107_pdf1,2022,2022-12-21,DSP - DESPACHO 3469/2022,DSP,DESPACHO,3469/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência,,1,Texto Integral
2022_00189_pdf1,2022,2022-12-16,PRT - PORTARIA 377/2022,PRT,PORTARIA,377/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,,1,Texto Integral
2022_00189_pdf2,2022,2022-12-16,PRT - PORTARIA 377/2022,PRT,PORTARIA,377/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Exoneração,,2,Voto
2022_00190_pdf1,2022,2022-12-16,PRT - PORTARIA 378/2022,PRT,PORTARIA,378/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Nomeação,,1,Texto Integral
2022_00190_pdf2,2022,2022-12-16,PRT - PORTARIA 378/2022,PRT,PORTARIA,378/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Nomeação,,2,Voto
2022_00192_pdf1,2022,2022-12-16,PRT - PORTARIA 382/2022,PRT,PORTARIA,382/2022,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença para capacitação,,1,Texto Integral
2022_00195_pdf1,2022,2022-12-16,PRT - PORTARIA 385/2022,PRT,PORTARIA,385/2022,SAF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Designação,,1,Texto Integral
2022_00229_pdf1,2022,2022-12-15,PRT - PORTARIA 1851/2022,PRT,PORTARIA,1851/2022,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Revisão,,1,Texto Integral
2022_00358_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 070/2022,ECT,EXTRATO DE CONTRATO,070/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00359_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 071/2022,ECT,EXTRATO DE CONTRATO,071/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00360_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 072/2022,ECT,EXTRATO DE CONTRATO,072/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00361_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 073/2022,ECT,EXTRATO DE CONTRATO,073/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00362_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 074/2022,ECT,EXTRATO DE CONTRATO,074/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00363_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 075/2022,ECT,EXTRATO DE CONTRATO,075/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00364_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 076/2022,ECT,EXTRATO DE CONTRATO,076/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00365_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 077/2022,ECT,EXTRATO DE CONTRATO,077/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00366_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 078/2022,ECT,EXTRATO DE CONTRATO,078/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00367_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 079/2022,ECT,EXTRATO DE CONTRATO,079/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00368_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 080/2022,ECT,EXTRATO DE CONTRATO,080/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00369_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 081/2022,ECT,EXTRATO DE CONTRATO,081/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00370_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 082/2022,ECT,EXTRATO DE CONTRATO,082/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00371_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 083/2022,ECT,EXTRATO DE CONTRATO,083/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00372_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 084/2022,ECT,EXTRATO DE CONTRATO,084/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00373_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 085/2022,ECT,EXTRATO DE CONTRATO,085/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00374_pdf1,2022,2022-12-08,ECT - EXTRATO DE CONTRATO 086/2022,ECT,EXTRATO DE CONTRATO,086/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00382_pdf1,2022,2022-12-08,PRT - PORTARIA 366/2022,PRT,PORTARIA,366/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,,,1,Texto Integral
2022_00387_pdf1,2022,2022-12-08,PRT - PORTARIA 371/2022,PRT,PORTARIA,371/2022,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença para capacitação,,1,Texto Integral
2022_00508_pdf1,2022,2022-12-02,DSP - DESPACHO 2999/2022,DSP,DESPACHO,2999/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,,1,Texto Integral
2022_00508_pdf2,2022,2022-12-02,DSP - DESPACHO 2999/2022,DSP,DESPACHO,2999/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,,2,Voto
2022_00570_pdf1,2022,2022-12-01,DSP - DESPACHO 3419/2022,DSP,DESPACHO,3419/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anulação,,1,Texto Integral
2022_00583_pdf1,2022,2022-12-01,REA - RESOLUÇÃO AUTORIZATIVA 13079/2022,REA,RESOLUÇÃO AUTORIZATIVA,13079/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Ajuste,,1,Texto Integral
2022_00583_pdf2,2022,2022-12-01,REA - RESOLUÇÃO AUTORIZATIVA 13079/2022,REA,RESOLUÇÃO AUTORIZATIVA,13079/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Ajuste,,2,Voto
2022_00608_pdf1,2022,2022-11-29,DSP - DESPACHO 3242/2022,DSP,DESPACHO,3242/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Declaração,,1,Texto Integral
2022_00608_pdf2,2022,2022-11-29,DSP - DESPACHO 3242/2022,DSP,DESPACHO,3242/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Declaração,,2,Voto
2022_00620_pdf1,2022,2022-11-29,DSP - DESPACHO 3334/2022,DSP,DESPACHO,3334/2022,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência (transferência de controle societário),,1,Texto Integral
2022_00631_pdf1,2022,2022-11-29,PRT - PORTARIA 342/2022,PRT,PORTARIA,342/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Criação,,1,Texto Integral
2022_00631_pdf2,2022,2022-11-29,PRT - PORTARIA 342/2022,PRT,PORTARIA,342/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Criação,,2,Voto
2022_00665_pdf1,2022,2022-11-25,DSP - DESPACHO 3355/2022,DSP,DESPACHO,3355/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00676_pdf1,2022,2022-11-25,PRT - PORTARIA 356/2022,PRT,PORTARIA,356/2022,SRH/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Licença para capacitação,,1,Texto Integral
2022_00768_pdf1,2022,2022-11-24,DSP - DESPACHO 3258/2022,DSP,DESPACHO,3258/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anulação,,1,Texto Integral
2022_00771_pdf1,2022,2022-11-24,DSP - DESPACHO 3320/2022,DSP,DESPACHO,3320/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Declaração,,1,Texto Integral
2022_00771_pdf2,2022,2022-11-24,DSP - DESPACHO 3320/2022,DSP,DESPACHO,3320/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Declaração,,2,Decisão
2022_00775_pdf1,2022,2022-11-24,DSP - DESPACHO 3346/2022,DSP,DESPACHO,3346/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00777_pdf1,2022,2022-11-24,DSP - DESPACHO 3348/2022,DSP,DESPACHO,3348/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00778_pdf1,2022,2022-11-24,DSP - DESPACHO 3349/2022,DSP,DESPACHO,3349/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00779_pdf1,2022,2022-11-24,DSP - DESPACHO 3350/2022,DSP,DESPACHO,3350/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00780_pdf1,2022,2022-11-24,DSP - DESPACHO 3351/2022,DSP,DESPACHO,3351/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00781_pdf1,2022,2022-11-24,DSP - DESPACHO 3352/2022,DSP,DESPACHO,3352/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00782_pdf1,2022,2022-11-24,DSP - DESPACHO 3353/2022,DSP,DESPACHO,3353/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00783_pdf1,2022,2022-11-24,DSP - DESPACHO 3354/2022,DSP,DESPACHO,3354/2022,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aplicação,,1,Texto Integral
2022_00797_pdf1,2022,2022-11-24,ECT - EXTRATO DE CONTRATO 055/2022,ECT,EXTRATO DE CONTRATO,055/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00800_pdf1,2022,2022-11-24,ECT - EXTRATO DE CONTRATO 058/2022,ECT,EXTRATO DE CONTRATO,058/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00803_pdf1,2022,2022-11-24,ECT - EXTRATO DE CONTRATO 061/2022,ECT,EXTRATO DE CONTRATO,061/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
2022_00806_pdf1,2022,2022-11-24,ECT - EXTRATO DE CONTRATO 064/2022,ECT,EXTRATO DE CONTRATO,064/2022,SLC/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,,1,Texto Integral
