registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo,url,arquivo,baixado_json,pdf_uid,group_key,sample_score
2021_05527,2021,2021-04-01,LEI 14133/2021,SEM_MATCH,SEM_MATCH,SEM_MATCH,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Legislação básica,NULL,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14133.htm,L14133.htm,True,2021_05527__1,,1.307936507936508
2021_03364,2021,2021-07-13,LEI 14182/2021,SEM_MATCH,SEM_MATCH,SEM_MATCH,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Privatização,PREENCHIDA,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2021/lei/L14182.htm,L14182.htm,True,2021_03364__1,,1.007936507936508
2022_06845,2022,2022-02-07,ATS - AVISO DE TOMADA DE SUBSÍDIOS 002,ATS,AVISO DE TOMADA DE SUBSÍDIOS,002,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aviso,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/ats2022002ti.pdf,ats2022002ti.pdf,True,2022_06845__1,ATS | Texto Integral,
2022_00041,2022,2022-12-27,COM - COMUNICADO 020/2022,COM,COMUNICADO,020/2022,SCG/ANEEL,TORNADA SEM EFEITO,0,Comunicado,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/com2022020scg.pdf,com2022020scg.pdf,True,2022_00041__1,COM | Texto Integral,
2022_07149,2022,2022-01-25,DEC - DECRETO 10946/2022,DEC,DECRETO,10946/2022,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Cessão de Uso,PREENCHIDA,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/d10946.htm,d10946.htm,True,2022_07149__1,,1.0714285714285714
2022_00056,2022,2022-12-26,DEC - DECRETO 11307/2022,DEC,DECRETO,11307/2022,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Contrato de concessão,PREENCHIDA,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/Decreto/D11307.htm,D11307.htm,True,2022_00056__1,,1.0714285714285714
2022_03385,2022,2022-07-26,DEC - DECRETO 11147/2022,DEC,DECRETO,11147/2022,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Decreto Executivo,PREENCHIDA,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/D11147.htm,D11147.htm,True,2022_03385__1,,1.0714285714285714
2022_05837,2022,2022-04-01,DEC - DECRETO 11028/2022,DEC,DECRETO,11028/2022,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Disposição,NULL,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/D11028.htm,D11028.htm,True,2022_05837__1,,1.3714285714285714
2022_05836,2022,2022-04-01,DEC - DECRETO 11027/2022,DEC,DECRETO,11027/2022,PR,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Regulamentação,NULL,1,Texto Integral,http://www.planalto.gov.br/ccivil_03/_ato2019-2022/2022/decreto/D11027.htm,D11027.htm,True,2022_05836__1,DEC | Texto Integral,
2022_03390,2022,2022-07-26,DSP - DESPACHO 1972/2022,DSP,DESPACHO,1972/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,PREENCHIDA,2,Decisão,https://www2.aneel.gov.br/cedoc/adsp20221972.pdf,adsp20221972.pdf,True,2022_03390__2,,
